форма шляпки,поверхность шляпки,цвет шляпки,повреждения,запах,крепление пластинок,расстояние между пластинками,размер пластинок,цвет пластинок,форма ножки,корень ножки,поверхность ножки выше кольца,поверхность ножки ниже кольца,цвет ножки выше кольца,цвет ножки ниже кольца,тип вуали,цвет вуали,количество колец,тип кольца,цвет спор,популяция,среда обитания,съедобность
выпуклая,гладкая,коричневая,переломы,жгучий,свободные,близкие,узкие,коричневые,удлиняющиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,рассеянное,травы,ядовит
выпуклая,чешуйчатая,белая,переломы,жгучий,свободные,близкие,узкие,коричневые,удлиняющиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,рассеянное,городская,ядовит
выпуклая,гладкая,коричневая,переломы,жгучий,свободные,близкие,узкие,черные,удлиняющиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,рассеянное,городская,ядовит
колокольчатая,гладкая,желтая,переломы,миндальный,свободные,близкие,широкие,черные,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,рассеянное,луга,съедобен
выпуклая,чешуйчатая,коричневая,переломы,жгучий,свободные,близкие,узкие,коричневые,удлиняющиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,несколько,травы,ядовит
колокольчатая,чешуйчатая,желтая,переломы,анисовый,свободные,близкие,широкие,черные,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,рассеянное,луга,съедобен
колокольчатая,чешуйчатая,белая,переломы,миндальный,свободные,близкие,широкие,белые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,многочисленное,луга,съедобен
колокольчатая,гладкая,белая,переломы,анисовый,свободные,близкие,широкие,серые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,рассеянное,луга,съедобен
плоская,гладкая,белая,переломы,жгучий,свободные,близкие,узкие,коричневые,удлиняющиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,несколько,травы,ядовит
выпуклая,чешуйчатая,желтая,переломы,миндальный,свободные,близкие,широкие,коричневые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,многочисленное,луга,съедобен
выпуклая,чешуйчатая,белая,переломы,анисовый,свободные,близкие,широкие,белые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,многочисленное,луга,съедобен
плоская,волокнистая,коричневая,нет,нет,свободные,близкие,узкие,черные,удлиняющиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,одиночное,городская,съедобен
выпуклая,гладкая,желтая,переломы,миндальный,свободные,плотные,узкие,коричневые,сужающиеся,луковичная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,несколько,леса,съедобен
колокольчатая,гладкая,желтая,переломы,анисовый,свободные,близкие,широкие,серые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,многочисленное,луга,съедобен
выпуклая,чешуйчатая,белая,переломы,жгучий,свободные,близкие,узкие,черные,удлиняющиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,рассеянное,городская,ядовит
выпуклая,чешуйчатая,желтая,переломы,анисовый,свободные,близкие,широкие,коричневые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,многочисленное,луга,съедобен
выпуклая,чешуйчатая,коричневая,переломы,анисовый,свободные,близкие,широкие,розовые,удлиняющиеся,корневая,гладкая,чешуйчатая,белый,белый,частичная,белый,одно,подвесное,коричневый,одиночное,тропинки,съедобен
колокольчатая,чешуйчатая,желтая,переломы,анисовый,свободные,близкие,широкие,коричневые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,рассеянное,луга,съедобен
выпуклая,волокнистая,желтая,переломы,анисовый,свободные,плотные,узкие,белые,сужающиеся,луковичная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,несколько,леса,съедобен
втопленная,волокнистая,серая,нет,нет,свободные,близкие,узкие,черные,удлиняющиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,несколько,городская,съедобен
выпуклая,чешуйчатая,коричневая,переломы,жгучий,свободные,близкие,узкие,белые,удлиняющиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,рассеянное,городская,ядовит
выпуклая,волокнистая,желтая,переломы,миндальный,свободные,плотные,узкие,розовые,сужающиеся,луковичная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,несколько,леса,съедобен
колокольчатая,гладкая,желтая,переломы,анисовый,свободные,близкие,широкие,черные,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,рассеянное,луга,съедобен
колокольчатая,чешуйчатая,желтая,переломы,миндальный,свободные,близкие,широкие,коричневые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,рассеянное,травы,съедобен
выпуклая,чешуйчатая,желтая,переломы,анисовый,свободные,близкие,широкие,коричневые,удлиняющиеся,корневая,гладкая,чешуйчатая,белый,белый,частичная,белый,одно,подвесное,черный,одиночное,тропинки,съедобен
выпуклая,волокнистая,коричневая,нет,нет,свободные,близкие,узкие,серые,удлиняющиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,одиночное,городская,съедобен
выпуклая,чешуйчатая,белая,переломы,жгучий,свободные,близкие,узкие,розовые,удлиняющиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,несколько,травы,ядовит
выпуклая,гладкая,желтая,переломы,миндальный,свободные,близкие,широкие,белые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,многочисленное,луга,съедобен
выпуклая,чешуйчатая,белая,переломы,миндальный,свободные,близкие,широкие,коричневые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,многочисленное,травы,съедобен
выпуклая,чешуйчатая,желтая,переломы,анисовый,свободные,близкие,широкие,черные,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,рассеянное,луга,съедобен
выпуклая,гладкая,белая,переломы,анисовый,свободные,близкие,широкие,белые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,многочисленное,луга,съедобен
выпуклая,чешуйчатая,желтая,переломы,анисовый,свободные,близкие,широкие,коричневые,удлиняющиеся,корневая,гладкая,чешуйчатая,белый,белый,частичная,белый,одно,подвесное,коричневый,рассеянное,тропинки,съедобен
плоская,чешуйчатая,желтая,переломы,анисовый,свободные,близкие,широкие,белые,удлиняющиеся,корневая,гладкая,чешуйчатая,белый,белый,частичная,белый,одно,подвесное,черный,рассеянное,тропинки,съедобен
выпуклая,чешуйчатая,коричневая,переломы,миндальный,свободные,близкие,широкие,белые,удлиняющиеся,корневая,гладкая,чешуйчатая,белый,белый,частичная,белый,одно,подвесное,черный,рассеянное,травы,съедобен
выпуклая,гладкая,белая,переломы,анисовый,свободные,близкие,широкие,черные,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,рассеянное,травы,съедобен
колокольчатая,гладкая,белая,переломы,анисовый,свободные,близкие,широкие,черные,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,многочисленное,луга,съедобен
выпуклая,чешуйчатая,коричневая,переломы,жгучий,свободные,близкие,узкие,черные,удлиняющиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,несколько,городская,ядовит
выпуклая,гладкая,белая,переломы,жгучий,свободные,близкие,узкие,черные,удлиняющиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,несколько,городская,ядовит
колокольчатая,чешуйчатая,желтая,переломы,миндальный,свободные,близкие,широкие,белые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,рассеянное,луга,съедобен
плоская,волокнистая,серая,нет,нет,свободные,плотные,широкие,коричневые,сужающиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,исчезающее,коричневый,многочисленное,травы,съедобен
колокольчатая,гладкая,белая,переломы,миндальный,свободные,близкие,широкие,белые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,многочисленное,травы,съедобен
выпуклая,гладкая,желтая,переломы,анисовый,свободные,близкие,широкие,черные,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,многочисленное,травы,съедобен
выпуклая,чешуйчатая,коричневая,переломы,миндальный,свободные,близкие,широкие,розовые,удлиняющиеся,корневая,гладкая,чешуйчатая,белый,белый,частичная,белый,одно,подвесное,черный,одиночное,тропинки,съедобен
втопленная,волокнистая,серая,нет,нет,свободные,близкие,узкие,черные,удлиняющиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,несколько,городская,съедобен
колокольчатая,чешуйчатая,желтая,переломы,миндальный,свободные,близкие,широкие,черные,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,рассеянное,луга,съедобен
колокольчатая,гладкая,желтая,переломы,анисовый,свободные,близкие,широкие,серые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,рассеянное,луга,съедобен
колокольчатая,чешуйчатая,желтая,переломы,анисовый,свободные,близкие,широкие,серые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,многочисленное,луга,съедобен
колокольчатая,чешуйчатая,белая,переломы,анисовый,свободные,близкие,широкие,коричневые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,рассеянное,травы,съедобен
плоская,гладкая,коричневая,нет,нет,свободные,плотные,широкие,черные,сужающиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,исчезающее,черный,многочисленное,травы,съедобен
выпуклая,гладкая,белая,переломы,анисовый,свободные,близкие,широкие,коричневые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,рассеянное,травы,съедобен
плоская,чешуйчатая,желтая,переломы,миндальный,свободные,близкие,широкие,белые,удлиняющиеся,корневая,гладкая,чешуйчатая,белый,белый,частичная,белый,одно,подвесное,коричневый,рассеянное,травы,съедобен
выпуклая,чешуйчатая,желтая,переломы,миндальный,свободные,близкие,широкие,белые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,многочисленное,травы,съедобен
выпуклая,волокнистая,серая,нет,нет,свободные,близкие,узкие,розовые,удлиняющиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,несколько,городская,съедобен
плоская,волокнистая,желтая,переломы,анисовый,свободные,плотные,узкие,розовые,сужающиеся,луковичная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,несколько,леса,съедобен
колокольчатая,чешуйчатая,белая,переломы,анисовый,свободные,близкие,широкие,серые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,рассеянное,луга,съедобен
плоская,волокнистая,желтая,переломы,анисовый,свободные,плотные,узкие,белые,сужающиеся,луковичная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,несколько,леса,съедобен
выпуклая,чешуйчатая,коричневая,переломы,миндальный,свободные,близкие,широкие,розовые,удлиняющиеся,корневая,гладкая,чешуйчатая,белый,белый,частичная,белый,одно,подвесное,черный,рассеянное,тропинки,съедобен
колокольчатая,гладкая,желтая,переломы,миндальный,свободные,близкие,широкие,черные,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,рассеянное,травы,съедобен
плоская,гладкая,желтая,переломы,анисовый,свободные,плотные,узкие,розовые,сужающиеся,луковичная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,несколько,леса,съедобен
выпуклая,гладкая,белая,переломы,анисовый,свободные,плотные,узкие,коричневые,сужающиеся,луковичная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,фиолетовый,несколько,леса,съедобен
плоская,чешуйчатая,коричневая,переломы,анисовый,свободные,близкие,широкие,розовые,удлиняющиеся,корневая,гладкая,чешуйчатая,белый,белый,частичная,белый,одно,подвесное,коричневый,одиночное,тропинки,съедобен
выпуклая,чешуйчатая,коричневая,переломы,жгучий,свободные,близкие,узкие,белые,удлиняющиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,несколько,городская,ядовит
плоская,чешуйчатая,коричневая,переломы,миндальный,свободные,близкие,широкие,коричневые,удлиняющиеся,корневая,гладкая,чешуйчатая,белый,белый,частичная,белый,одно,подвесное,коричневый,одиночное,травы,съедобен
выпуклая,гладкая,коричневая,нет,нет,свободные,плотные,широкие,черные,сужающиеся,равномерная,волокнистая,гладкая,белый,белый,частичная,белый,одно,исчезающее,коричневый,рассеянное,травы,съедобен
выпуклая,чешуйчатая,белая,переломы,жгучий,свободные,близкие,узкие,белые,удлиняющиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,рассеянное,травы,ядовит
плоская,волокнистая,серая,нет,нет,свободные,близкие,узкие,коричневые,удлиняющиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,одиночное,городская,съедобен
выпуклая,волокнистая,серая,нет,нет,свободные,плотные,широкие,коричневые,сужающиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,исчезающее,коричневый,рассеянное,травы,съедобен
выпуклая,чешуйчатая,желтая,переломы,анисовый,свободные,близкие,широкие,белые,удлиняющиеся,корневая,гладкая,чешуйчатая,белый,белый,частичная,белый,одно,подвесное,черный,рассеянное,травы,съедобен
выпуклая,гладкая,коричневая,нет,нет,свободные,плотные,широкие,черные,сужающиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,исчезающее,черный,рассеянное,травы,съедобен
колокольчатая,гладкая,белая,переломы,миндальный,свободные,близкие,широкие,белые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,рассеянное,травы,съедобен
выпуклая,гладкая,белая,переломы,анисовый,свободные,близкие,широкие,коричневые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,рассеянное,травы,съедобен
плоская,чешуйчатая,коричневая,переломы,анисовый,свободные,близкие,широкие,белые,удлиняющиеся,корневая,гладкая,чешуйчатая,белый,белый,частичная,белый,одно,подвесное,черный,одиночное,травы,съедобен
втопленная,волокнистая,коричневая,нет,нет,свободные,близкие,узкие,коричневые,удлиняющиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,несколько,городская,съедобен
выпуклая,волокнистая,коричневая,нет,нет,свободные,близкие,узкие,коричневые,удлиняющиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,одиночное,городская,съедобен
колокольчатая,гладкая,белая,переломы,анисовый,свободные,близкие,широкие,черные,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,рассеянное,травы,съедобен
выпуклая,чешуйчатая,желтая,переломы,миндальный,свободные,близкие,широкие,серые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,рассеянное,травы,съедобен
выпуклая,чешуйчатая,желтая,переломы,анисовый,свободные,близкие,широкие,серые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,многочисленное,луга,съедобен
выпуклая,гладкая,коричневая,нет,нет,свободные,плотные,широкие,коричневые,сужающиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,исчезающее,коричневый,многочисленное,травы,съедобен
выпуклая,гладкая,белая,переломы,миндальный,свободные,близкие,широкие,серые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,рассеянное,травы,съедобен
плоская,чешуйчатая,коричневая,переломы,анисовый,свободные,близкие,широкие,розовые,удлиняющиеся,корневая,гладкая,чешуйчатая,белый,белый,частичная,белый,одно,подвесное,коричневый,рассеянное,травы,съедобен
выпуклая,гладкая,желтая,переломы,миндальный,свободные,близкие,широкие,коричневые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,многочисленное,травы,съедобен
колокольчатая,гладкая,белая,переломы,миндальный,свободные,близкие,широкие,серые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,рассеянное,травы,съедобен
выпуклая,чешуйчатая,белая,переломы,миндальный,свободные,близкие,широкие,серые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,рассеянное,травы,съедобен
выпуклая,волокнистая,коричневая,нет,нет,свободные,плотные,широкие,розовые,сужающиеся,равномерная,волокнистая,гладкая,белый,белый,частичная,белый,одно,исчезающее,черный,рассеянное,травы,съедобен
колокольчатая,гладкая,желтая,переломы,анисовый,свободные,близкие,широкие,коричневые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,многочисленное,травы,съедобен
плоская,чешуйчатая,желтая,переломы,анисовый,свободные,близкие,широкие,белые,удлиняющиеся,корневая,гладкая,чешуйчатая,белый,белый,частичная,белый,одно,подвесное,коричневый,рассеянное,травы,съедобен
выпуклая,чешуйчатая,желтая,переломы,миндальный,свободные,близкие,широкие,коричневые,удлиняющиеся,корневая,гладкая,чешуйчатая,белый,белый,частичная,белый,одно,подвесное,черный,одиночное,тропинки,съедобен
колокольчатая,чешуйчатая,белая,переломы,анисовый,свободные,близкие,широкие,серые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,многочисленное,травы,съедобен
выпуклая,чешуйчатая,желтая,переломы,миндальный,свободные,близкие,широкие,коричневые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,многочисленное,луга,съедобен
выпуклая,чешуйчатая,желтая,переломы,миндальный,свободные,близкие,широкие,белые,удлиняющиеся,корневая,гладкая,чешуйчатая,белый,белый,частичная,белый,одно,подвесное,коричневый,одиночное,травы,съедобен
колокольчатая,чешуйчатая,белая,переломы,анисовый,свободные,близкие,широкие,коричневые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,рассеянное,луга,съедобен
колокольчатая,чешуйчатая,белая,переломы,миндальный,свободные,близкие,широкие,серые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,рассеянное,луга,съедобен
выпуклая,гладкая,желтая,переломы,миндальный,свободные,близкие,широкие,черные,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,многочисленное,луга,съедобен
выпуклая,гладкая,желтая,переломы,анисовый,свободные,близкие,широкие,белые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,многочисленное,травы,съедобен
втопленная,волокнистая,серая,нет,нет,свободные,близкие,узкие,серые,удлиняющиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,одиночное,городская,съедобен
выпуклая,волокнистая,белая,переломы,миндальный,свободные,плотные,узкие,белые,сужающиеся,луковичная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,фиолетовый,несколько,леса,съедобен
выпуклая,гладкая,желтая,переломы,миндальный,свободные,близкие,широкие,коричневые,удлиняющиеся,клубневая,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,черный,многочисленное,луга,съедобен
выпуклая,чешуйчатая,белая,переломы,жгучий,свободные,близкие,узкие,коричневые,удлиняющиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,несколько,городская,ядовит
выпуклая,чешуйчатая,желтая,переломы,анисовый,свободные,близкие,широкие,розовые,удлиняющиеся,корневая,гладкая,чешуйчатая,белый,белый,частичная,белый,одно,подвесное,коричневый,рассеянное,травы,съедобен
втопленная,волокнистая,серая,нет,нет,свободные,близкие,узкие,розовые,удлиняющиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,одиночное,городская,съедобен
выпуклая,чешуйчатая,желтая,переломы,анисовый,свободные,близкие,широкие,белые,удлиняющиеся,корневая,гладкая,чешуйчатая,белый,белый,частичная,белый,одно,подвесное,черный,одиночное,травы,съедобен
выпуклая,гладкая,желтая,переломы,анисовый,свободные,плотные,узкие,розовые,сужающиеся,луковичная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,фиолетовый,несколько,леса,съедобен
втопленная,волокнистая,коричневая,нет,нет,свободные,близкие,узкие,черные,удлиняющиеся,равномерная,гладкая,гладкая,белый,белый,частичная,белый,одно,подвесное,коричневый,одиночное,городская,съедобен
